Basvuru Tarihi	Baþvuru Numarasý	Buluþ Baþlýðý	Buluþ Sahibi	Proje Kodu	Proje Ýsmi	Ýlgili olduðu Ürün&Servisler	Özet
2012	2012/15401	GSM ÞEBEKESÝNDE YENÝ KURULAN HÜCRE ÝÇÝN KOMÞULUK TAHMÝNÝ VE SINIFLANDIRILMASI	PINAR TANRIVERDÝ-CENGÝZ KAYMAZALP				"Bu buluþ, Telekomünikasyon sektöründe GSM þebekesi içinde yeni kurulan hücreye ait komþuluklarýnýn tahmin edilmesi ve tahmin edilen komþuluk bilgisinin yeni hücre ile arasýndaki iliþkinin sýnýflandýrýlmasý ile ilgilidir. Þebeke içinde çoðu zaman bu iþlem hücre planlamacýlarýn tecrübelerini kullanarak manuel yapýlmakta. Bu nedenle yanlýþ komþuluk iliþkilerinin sisteme tanýtýlmasý gibi , hatalý iþlemlere sebep olabilmektedir. Bu ve benzeri yanlýþ komþuluk bilgisinin girilmesini engellenmesini, yeni hücreye ait frekans atamasýnda yardýmcý olabilecek doðru bilginin edinilmesine kaynak saðlayacak verinin hesaplanmasýný saðlayan bir yöntemdir. 
-> Araþtýrma Sonuçlarý için Notlar:
EP2501166A1 sayýlý Avrupa patent dökümanýnda geçen en yakýn BTS  seçilmesi iþleminden farklý olarak bizim yöntemimizde en yakýn hücre ve yöndeþ olmasý kriterlerine baðlý olarak seçim yapýlmaktadýr. Referans hücre seçiminde farklýlýk olarak, n tane en yakýn ve yöndeþ hücre seçilip onlarýn en uzak komþularý ile arasýn"
2012	2012/15403	BÝR MOBÝL POS ÖDEME SÝSTEMÝ	ALP SARDAÐ				Bu buluþ ile amaçlanan, öncelikle kernel sertifikasyon masraflarýný azaltmak, sonrasýnda bir aksesuar donaným aracýlýðýyla cep telefonlarýný POS haline dönüþtürmektir. Sertifikasyon masraflarýnýn azalmasý ve POS cihazýnýn iletiþim modüllerini cep telefonundan kullanmasý, sayesinde POS maliyetlerini düþürmek amaçlanmaktadýr. 
2012	2012/15465	NFC'DE ÇOKLU ÖDEME SADAKAT MÝMARÝSÝ	ALP SARDAÐ				Bu buluþ ile amaçlanan, yüksek maliyetli sadakat POS akýþýný deðiþtirmek yerine, NFC için kullanýlan, SE üzerindeki sadakat uygulamasýnýn mimarisini deðiþtirerek, çoklu ödeme sadakat uygulamalarýnýn sahadaki eski POS sadakat akýþlarýyla çalýþabilmesini saðlamaktýr. Bu mimari sayesinde, ödeme sadakat kartý sahibi, NFC ile bütün kartlarýný "secure element" üzerine güvenli bir þekilde taþýyabilecek ve alýþveriþ deneyiminde eskiye göre bir farklýlýk yaþamayacaktýr. 
2012	2012/15474	MOBÝL SERVÝS TAKÝP SÝSTEMÝ	FUNDAGÜL ÇELÝKDELEN				?Mobil Servis Takip Sistemi? buluþu ile þirket personellerinin günlük mesailerini yapabilmeleri için belirli güzergahlar dahilinde kullanýlan servis araçlarýna ait online güzergah takip imkaný amaçlanmaktadýr.
2012	2012/15569	DIÞA DÖNÜK KAMPANYALAR ÝÇÝN SEGMENTASYON VE FÝLTRELEME KURALLARININ BÝRARADA AÐAÇ YAPISI ÝLE GRAFÝKSEL GÖSTERÝMÝ	GÖKHAN BÜYÜKYUMUKOÐLU				"Kampanya yönetim sistemlerinde yüzlerce kampanya tanimlandigi durumlarda, bu kampanya tanimlarinin müsteriyi hangi segmentlere ayirdigi, bu segmentlere ne gibi teklifler sundugu ve bu segmentleri olusturan müsteri datasini filtreleyen kurallarin ne oldugu bilgileri çok büyük ve karmasiktir. Bir kampanya tanimina baktiginiz zaman yukarida bahsedilen 3 bilgiyi bir anda görebilmek ve kampanya hakkinda fikir yürütebilmek, yeni tanimlanacak olan kampanyalara dair bir fikir verebilmesi, hatali ve örtüsen tanimlarin yapilmamasi açisindan çok önemlidir. 
Yüksek sayida kampanya taniminin oldugu sistemlerde ayrica bu verinin bakimi, güncellenmesi ve düzeltilmesi, yeni özellikler eklenmesi ihtiyaci vardir. 
Bu durumdada tek bir noktadan tüm veriye hakim olup tek noktadan veri girisi yapilabilir olmasi çok önemlidir.
Bulusumuz bu büyük ve karmasik datayi olabilecek en derli toplu sekilde hiyerarsik bir agaç yapisi halinde grafiksel olarak göstermektedir."
2012	2012/15637	BANKA VE SÝGORTA ÝÞLEMLERÝ TETÝKLEMELÝ KAMPANYA ÖNERÝLERÝ	HAKAN KAYIÞ				Banka CRM sistemleri yüksek tutarlýklý bir dataya sahiptir. Telekom þirketi için en önemli input cep telefonu numarasý olacaktýr. Bazý banka iþlemleri ile müþterinin telekom operatörü kampanyalarýna veya iþlemlerine katýlma isteði arasýnda korelasyon bulunabilir. Bu durumdaki bir müþteriye önerilebilecek bir Turkcell ürün önerisi veya kampanyasýnýn baþarýsýnýn daha fazla olacaðý açýktýr. Bu nedenle bazý banka iþlemleri sonrasý bankanýn CRM datasý üzerinden ilgili iþlemle eþleþtirilebilecek telekom operatörü kampanyasý müþteriye önerilebilir. 
2012	2012/15649	OLUMSUZ SONUÇLU KURALLARIN OLUMLU SONUÇLANABÝLMESÝ ÝÇÝN ÖNERÝLERÝN BULUNMASINA ÝLÝÞKÝN SÝSTEM VE YÖNTEM	DURSUN KOÇ				Buluþ, sonucu olumsuz olan kurallarýn olumlu olabilmesi için önerilerin bulunmasýna iliþkin sistem, motor ve yöntemi açýklar.
2012	2012/15650	MOBÝL AYGITLARDA TEK URL ÝLE OTOMATÝK VÝDEO SEÇÝMÝ VE OYNATILMASI	ÖZGÜR RAHMÝ DÖNMEZ 				"Bu buluþ mobil aygýtlarýn ekran çözünürlüðü, desteklenen kodlayýcý/kod çözücü ve veri transfer protokolü farklýlýklarýndan dolayý oluþan video oynatma problemlerini gidermek için geliþtirilen bir sistem ve yöntemle ilgilidir.

"
2012	2012/15651	SERVÝS HÝZMETÝ OLARAK SESLÝ FATURA HÝZMETÝ	HAKAN KAYIÞ				Aslýnda geçen sene baþvurduðumuz patenti extend etmek istiyorum. "Bir Sesli Fatura Bildirim Sistem ve Yöntemi" patentimizde sadece görme engelliler için sesli fatura hizmeti verilmesinin patentine baþvurmuþtuk. Ancak bu konuda sadece görme engellileri hedeflemeyen bir servis olarak sesli fatura verilmesi durumunda patentimizin koruyuculuðu kalmýyor ise açýk durumdayýz demektir. Bu nedenle sesli faturanýn sadece görme engellilere deðil , herkese servis olarka verilmesinin patenti için ekteki dosyayý hazýrladým.
2012	2012/15652	KREDÝ KARTI ÝLE TOPLU HEDEFLÝ SMS GÖNDERÝMÝ	CAN HÜZMELÝ				"Buluþ ile beraber herhangi bir internet kullanýcýsý email ve þifre ile siteye abone olup, kredi kartý bilgileri ile de ödeme yaparak, herhangi bir MSISDN listesi yüklemeden, cep telefonu abonelerine hedefli reklam SMS?i gönderebilecektir. Göndereceði cep telefonu abonesi kitlesi üzerinde demografik ve lokasyon hedeflemesi yapabilecektir.

Mevcut sistemlerde telekom altyapýsý tamamen abonelik üzerine kurulu olduðu için operatörün abonesi olmayanlar herhangi bir þekilde hedefli SMS gönderimi yapamamaktadýr, sadece numara listesi ileterek toplu SMS gönderimi yapabilmektedir. Mevcutta bu servisi kullanmak isteyen müþterilerin operatör abonesi olmasý gerekmektedir ve SMS gönderim ücreti faturalarýna yansýmaktadýr. Bu buluþ ile herhangi bir abonelik yapmaksýzýn sadece kredi kartý ile ödeme yapýp toplu halde hedefleme yaparak reklamlarýný SMS ile ulaþtýrabileceklerdir. Böylece bir telekom servisi olan hedefli SMS gönderimi bir internet servisi haline getirilmiþtir."
2012	2012/15653	MEÞGULSE ARA	HACI MEHMET YILDIRIM KOÇDAÐ				Herhangi bir telefon görüþmesi sýrasýnda aranan telefon numarasýnýn meþgul olmasý durumunda meþgul olan kiþinin telefonunun uygun olana kadar aranmasý, eðer aranan telefon uygun ise telefon çalarak arama için karþý tarafýn uygun olduðunu bildirir ve karþý tarafýn açmasý ile konuþma baþlatýlýr. Bu þekilde bir arama sisteminde aksiyonlarýn þebekeye gitmeden, uygulama ve cihaz tarafýndan alýnmasý saðlanacaktýr.
2012	2012/15658	STEERING OF ROAMING USING SCCP AND TCAP ERRORS	MUSTAFA SÜTCÜ-MERT DEVA				Steering platform'larýnýn baþarý oraný arttýrmak için sunulan bir yöntem.
2012	2012/15661	BAZ ÝSTASYONLARININ L3VPN ÝLE IP PLANLAMASI	MUSTAFA BAHATTÝN KOCA				Baz istasyonlarýnýn IP planlamasý için L3vpn yapýsýna uygun bir yöntem sunmak.
2012	2012/15666	BASÝT TEXT DOKÜMANI ÝLE DATA MODEL HAZIRLAMA	ERCAN OKUMUÞ				"Buluþ basit bir text editörü ile datamodel tasarlamayý ve oluþturmayý içermektedir.
Yazýlým sistemlerinin tasarýmý esnasýnda ilk tasarlanan ve en önemli adým veri tabaný için datamodel tasarýmýdýr. Piyasada pek çok data model tasarýmý yapýlmasý için uygulamalar bulunmaktadýr. Bu uygulamalar belli bir uzmanlýk veya eðitim sonrasý kullanýlabilecek türdedir. Buluþ basit bir text editörü ile (Excel,notepad..) data model tasarýmý yapýlmasýný sonrasýnda ise buluþ dahilinde yazýlýmý yapýlan sistem ile veritabaný üzerinde oluþturulmasýný içermektedir. Buluþ ayný zamanda data modeldeki tüm objelerin oluþturulma scriptlerini hazýrlamakta istenir ise objeleri kendi oluþturmakta veya istenilen dosya tipinde mail atmaktadýr.
"
2012	2012/15669	POINT TO POINT CONNECTION APPROACH ON PLANNING NETWORK CAPACITY	DURMUÞ GÜRKAN ÖZKAN-SONAT KARAKAÞ-SELÇUK SARAÇ				"Araþtýrma sonuç raporunda gelen benzer patentlerden bizim buluþumuzun farklarý aþaðýdaki gibidir :
1) Örnek patentler topoloji çizmek için kullanýlýyorlar ancak bizim buluþumuzu uçtan uça baðlantý bulmak ve raporlamak için kullanýlýyor. Topoloji ile uçtan uça baðlantý birbirinden farklý konseptlerdir.
2) Bizim buluþumuz ayný fiziksel hat içinde farklý node' lara atanmýþ mantýksal (logical) timeslot' larý da bulmaktadýr. Örnek patentler ise fiziksel baðlantýlarý bulmak için tasarlanmýþlar.
3) Örnek patentler IP ya da bilgisayar að sistemleri için tasarlanmýþlar ancak bizim buluþumuz GSM ekipmanlarýna özel tasarlanmýþtýr. GSM ekipmanlarý IP ya da bilgisayar að sistemlerinde kullanýlan protokollerden farklý protokoller ile çalýþmaktadýr."
2012	2012/15680	SESLÝ VE GÖRÜNTÜLÜ MEDYANIN MOBÝL TELEFONLARLA ETKÝLEÞÝME GÝREBÝLMESÝ ÝÇÝN BÝR SÝSTEM	ALÝ YÜKSEL-BARIÞ YAVUZ				"Sesli ve görüntülü medyada izleyiciyi tutabilmek için çeþitli yönetemler kullanýlýr. Bunlardan birisi izleyici ile etkleþime girerek izleyicinin baþka programa geçmesini önlemektir. Bunun için program aralarýnda izleyiciden sms ile sorulara cevap verilmesi gibiyöntemler istenir.
Bizim sistemde izlenen program direk izleyicinin cep telefonu ile etkileþime geçecektir. Bunun için yayýncý kuruluþ yayýnladýðý program ile birlikte programýn sesleri arasýna insan kulaðýnýn duyamacaðý frekansta bir id bilgisi saklayacaktýr. Ýzleyicinin telefonundaki bir program bu frekanstaki sesleri dinleyecek ve id bilgisini anlayacaktýr. Bu id bilgisini merkezdeki server?a gönderecek ve aksiyon alýnmasýný saðlayacaktýr.
"
2012	2012/15695	MOBÝL VÝDEO REKLAMLARININ ÝZLENME SAYISINI VE SÜRESÝNÝ ÖLÇME YÖNTEMÝ	ERDEM GÜNAY-KAYHAN BÖLÜKBAÞ				Bu buluþ mobil aygýtlardan izlenen video?larýn izlenme süreleri ve izlenme sayýlarý ile ilgili istatistiki verilerin saðlanmasý için uygulanabilecek yöntem ve sistem ile ilgilidir. Bu buluþta tariflenen sistemin saðlayacaðý veriler kullanýlarak izlenen videolarla ilgili gelir paylaþýmý, video listeleme gibi faydalar saðlanabilecektir. 
2012	2012/15696	SON KONUÞMA ÜCRETÝNÝ ÜZERÝNE ALMA	AYÞE ÖZGE BAYRAKTAR				Zaman zaman telefon görüþmelerinde aramanýn geldiði kiþi karþý tarafýn ücretlenmesini istemediðinde aramayý reddedip kendisi geri arayabiliyor.  Halk arasýnda aile içinde bu durum telefonu çaldýrýp karþý tarafýn geri aramasýný beklemek gibi bir çözüm buluyor. Burada çaldýrma, reddedip geri arama vs. gibi durumlar yerine konuþmayý yapýp arama bittiken sonra son konuþmanýn ücretlendirmesinin aranan tarafýn üstlenebilmesini saðlayan  bir sms ya da ussd mesaj servisi kullanýþlý olabilir. Aranan kiþi son aramanýn ücretlendirme bedelini kendi üzerine  alýr ve karþý tarafa da ücretlendirmenin diðer tarafa yansýtýldýðý ile ilgili bir bilgilendirme gider.  Sadece ayný operatör içerisindeki aboneler arasýndaki geçerli olabilir.
2012	2012/15697	POI POINT OF INTEREST ENTEGRASYONU	SERKAN ÇAÐLAR-ÞEYMA KÜLEY-BARIÞ YAVUZ				"Olay tabanlý konum tespit ve bilgilendirme sistemi, tanýmlý  alanlar içindeki baz istasyonlarýndan hizmet alan msisdn?leri; olay tabanlý ve gerçeðe yakýn zamanlý olarak tespit eden ve bildiren sistemdir. Özel olarak tanýmlanan harita alanlarý ile birlikte; tanýmlý ihtiyaç noktalarýna da hedefli lokasyon mesaj bildirimi saðlanmýþtýr.
"
2012	2012/15698	OLAY TABANLI ANLIK KONUM TESPÝT VE BÝLGÝLENDÝRME SÝSTEMÝ ENTEGRASYONU	SERKAN ÇAÐLAR-ÞEYMA KÜLEY-BARIÞ YAVUZ-ALÝ YÜKSEL				Olay tabanlý konum tespit ve bilgilendirme sistemi, tanýmlý  alanlar içindeki baz istasyonlarýndan hizmet alan msisdn?leri; olay tabanlý ve gerçeðe yakýn zamanlý olarak tespit eden ve bildiren sistemdir. Sistem ileri tarihli iþlemektedir. Dinleme için tanýmlanan tarihten sonra belirlenen alan içinde iþlem yapam müþterilerin konumlarý alýnabilmektedir. Bu geliþtirme ile birlikte kapanya tanýmlanan tarihte belirlenen alan içinde olan müþterilerde tespit edilebilecektir.
2012	2012/15705	AUTOMATIC ROAMING ACTIVATION SYSTEM FOR INBOUND ROAMERS	ORÇUN UZUN-ULAÞ KARAKOÇ-BAHRÝ OKUROÐLU				Roaming disabled subscribers can not activate their roaming status via their mobile terminal as they are not granted to use their profile while they are abroad. In order to let inbound roamers activate their roaming status, the system called RoamActivate Inbound can be advised. Previously, RoamActivate Outbound system which stands for Automatic Roaming Activation System for Outbound Roamers has been designed and implemented by us for Turkcell Core Network and being used for about two years successfully. System had leaded the roaming disabled outbound roamers to enable their roaming status and brought a very important financial and customer satisfaction profits. RoamActivate Inbound system is a brand new "unique" design which uses the same concept of RoamActivate outbound system but will be used for inbound roamers. Therefore by enabling the roaming status of inbound roamers, a potential yield due to voice, data and sms usage can be considered.
2012	2012/15715	NEMS AUTOMATIC FREQUENCY PLANNER	ÖZER DURMAZ-DURMUÞ GÜRKAN ÖZKAN				"Mobil iletiþim sistemlerinde ses ve veri servisi verilebilmesi için hücreler kullanýlmaktadýr. Hücreler, mobil cihazlar ile belirli frekans aralýklarýnda ile iletiþim kurmaktadýrlar. 
Ýletiþim sürekliliði ve kalitesini arttýrmak için mobil aðda hücreler devamlý artmaktadýr. Hücre sayýsýnýn artmasý, frekans planlamayý günden güne zorlaþtýrmaktadýr.
Frekanslarýn saðlýklý daðýtýlmasý AFP (Automatic Frequency Planner) ile yapýlmaktadýr.
NEMS AFP ile ""mobil ölçümler"" kullanýlarak ""daha hýzlý"", ""daha saðlýklý"" frekans planlamasý yapýlmaktadýr."
2012	2012/15720	APN HATASINI OTOMATÝK DÜZELTME	AHMET FUAT SUNGUR-MERT ÞENGÜNER				Core Network verisinde kullanýcýlarýn APN hatasýndan dolayý internete baðlanamadýklarýný algýlayýp otomatik olarak APN güncelleme servisinin mobil cihazlara gönderimi saðlanabilir. Böylelikle kullanýcýlarýn çaðrý merkezini aramadan servis güncellemesi yapmalarýna olanak saðlanýr.
2012	2012/15723	BÝR LÝSTE DOKÜMANTASYONU ÖNERÝ YÖNTEMÝ	MUSTAFA KIRAÇ-KAZIM KAHYA				"Yazýlým geliþtirme ekiplerinin kod geliþtirme süreçlerine paralel olarak büyük miktarda zaman harcadýklarý önemli bir kýsým da dokümantasyon sürecidir. Geliþtirme, test, operasyon, sorun dokümanlarý gibi farklý fazlardan geçilmektedir. Bu dokümanlara serbest biçimde yazýlar girildiði gibi çok zaman alan bir kýsým da belli nesne veya etiket listelerinin girilmesidir. Bunlara örnek olarak, bir kod parçasýnýn etkilediði betik ve dosya isimleri, bir veri tabanýnda deðiþen veya eklenen tablo ve sütun isimleri, bir görev zamanlayýcýsýnda beklenen veya paralelde ilerleyen görev isimleri verilebilir. 

Bu buluþ hiyerarþik yapýya sahip dokümanlarda liste eklemesinin yapýldýðý kýsýmlar için otomatik öneri sýralama ve puanlama yapan bir sistemdir. Buluþun çözmekte olduðu problem çevrimiçi Wiki veya çevrimdýþý ofis dokümanlarý gibi, baþlýk ? alt baþlýk ? liste gibi hiyerarþik formattaki dokümanlar içerisindeki liste ve tablo girdilerine yeni girdi önerisi yaparak elle giriþi azaltmaktýr. "
2012	2012/15724	GSM ÞEBEKELERÝNDE BSCLER ARASI HÜCRE AKTARMA YÖNTEMÝ	YAKUP TARIK KRANDA-SEVÝM GÜVEN-HALUK AVCIOÐLU				"Buluþumuz kapsamýnda, GSM Þebeke ekipmanlarýndan olan bir BSC ye baðlý hücrelerden tamamýnýn ya da sadece istenilen hücrelerin baþka MSC?lere ya da ayný MSC?ye baðlý BSC?lere daðýtýlmasý, eski BSC deki tanýmlarýnýn silinerek yeni BSC?ler altýnda tanýmlanarak yeniden hizmet verir hale getirilmesi için geliþtirilmiþ bir yazýlým sistemi yer almaktadýr. Geleneksel mevcut yöntemlere ait tüm dezavantajlarý ortadan kaldýrmaktadýr.
"
2012	2012/15749	ANDROÝD CÝHAZLARDA ÇALIÞAN UYGULAMALARIN UZAKTAN KONTROL EDÝLMESÝ	FATÝH SÖKMEN-ÝZZET KEREM KÜSMEZER-ANIL SÝNAN GÜL				Android cihazlarýn (handset, tablet, vb.) uzaktan kontrol altýna alýnarak izin verilen uygulama/ekranlarýnýn çalýþtýrýlmasý, hardware tuþlarýnýn disable edilerek çalýþacak uygulamalarýn kontrol altýna alýnmasýný saðlayacak bir yöntem (Policy Apply)
2012	2012/15757	AUTOMATIC ROAMING ACTIVATION SYSTEM FOR OUTBOUND DATA ONLY TERMINALS	ORÇUN UZUN-ULAÞ KARAKOÇ-BAHRÝ OKUROÐLU				Roaming disabled subscribers can not activate their roaming status via their mobile terminal as they are not granted to use their profile while they are abroad. In order to let outbound data only roamers activate their roaming status, the system called RoamActivate Data can be advised. Previously, RoamActivate Outbound system which stands for Automatic Roaming Activation System for Outbound Roamers has been designed and implemented by us for Turkcell Core Network and being used for about two years successfully. A patent rigth had also been applied for Camel based, USSD based, automatic and SMS based activation methods. However we can also make this system available for data only terminals as well. So that data only terminals will be able to activate their roaming status while they are abroad. This is a brand new unique extension for RoamActivate system
2012	2012/15759	URL ANALYSIS TO DESIDE VISITING WEB SITE	AHMET FUAT SUNGUR-MERT ÞENGÜNER				"Bu buluþ, bir mobil þebeke abonesinin internete baðlanmasý esnasýnda yarattýðý trafik log.larýnda bulunan GN arayüzü (þebekedeki SGSN ? GGSN node?larý arasýndaki haberleþme protokolü) verilerini inceleyerek gerçek zamanlý olarak (ziyaret gerçekleþirken), abonenin verilen bir Websitesini ziyaret edip etmediðine belli bir algoritmaya göre karar verilmesini saðlamaktadýr. 

Bu bilgiye dayanarak (yasalar ve bilgi güvenliði yönetmelikleri çerçevesinde) pazarlama faaliyetleri açýsýndan anlamlý olabilecek web sitelerini ziyaret eden mobil þebeke abonelerine gecikmesiz ve nokta atýþý pazarlama teklifleri sunulmasý mümkün hale gelmektedir. 
"
2012	2012/15801	BULK LAST MINUTE CHECK UYGULAMASI	EMRE DOÐAN, MUSTAFA BARIÞ KONACOÐLU, SERAP ALTINTOP, GÖKHAN BÜYÜKYUMUKOÐLU				"<p>Bulk olarak çalýþan ve dýþ uygulamalar tarafýndan kullanýlabilen in-memory çalýþan business kural sorgulama modülüdür. JMS Queue'lardan gelen kayýtlarý dinler ve seçili olan kurallarý çalýþtýrýp yine diðer uygulamalarýn kullanmasý için ilgili JMS Queue'ya gönderir. </p>
<p>In-memory çalýþtýðý ve cache yapýsýný efektif kullandýðý için performans sorunlarý yaþanmamaktadýr.</p>"
2012	2012/15765	TELEKOMÜNÝKASYON ABONE VE KULLANIM VERÝSÝ ÝLE ÝLERÝYE DÖNÜK GENELLEÞTÝRÝLMÝÞ ABONE KAYBI TAHMÝN HESAPLAMA YÖNTEMÝ VE SÝSTEMÝ	MUSTAFA ESEN TUNA				"Bu yöntem ile abonelikten çýkma eðiliminde olan müþteriler önceden tahmin edilmekte ve pazarlama kampanya teklifleri sunarak müþteri kaybýný belirli oranda önlemektedir. Abonelikten çýkma eðiliminde olan müþterilerin yüksek oranda doðru tahmin edilmesi ile
1.	Ayrýlma eðiliminde olup da bunu öngörebildiðimiz aboneler oranýnda kayýp oranlarý da düþmektedir.
2.	Ayrýlma eðiliminde olmayan ama ayrýlacaðý sanýlan abonelere verilen teklif maliyeti düþmektedir.
Saðlanan avantajlar:
1.	Müþteri veri setinde eðilim için önemli veri nitelikleri otomatik olarak skorlanmakta ve modellere girdi olmaktadýr.
2.	Müþteri veri seti içindeki nitelikler tümleme fonksiyonlarý ile çeþitlendirilmekte ve eðilim davranýþý için gösterge olan nitelikler kullanýlabilmektedir.
3.	Tahmin modelleri otomatik olarak oluþturulup kýyaslanarak en verimli model seçilmektedir. 
4.	Modelleme için kullanýlan veri madenciliði algoritmasý, tahmin tarihi ve zaman aralýðý parametrik olarak seçilebilmektedir.
"
2012	2012/15768	YABANCI DÝL EÐÝTÝMÝNDE KULLANILMAK ÝÇÝN BAÐLAM TEMELLÝ BÝR MOBÝL EÐÝTÝM SÝSTEMÝ	BARIÞ YAVUZ				Bu buluþta etkili yabancý dil öðrenimi için mobil teknolojilerin baðlam temelli kullanýlmasý ile ilgili bir yöntem önerilmiþtir.  Bu sistemin kullanýcýsýna kayýt olduðu yabancý dile göre ve o anki baðlamýna göre anlýk olarak mobil cihazýna o yabancý dilde içerik (?bir kelime ve/veya bir cümle? olabilir)  iletir. Bu içerik kullanýcýnýn ekranýnda bir mesaj olarak ya da bir uygulama üzerinden gösterilir. Baðlam olarak kullanýcýnýn o anki konumu, aktivitesi (koþmak, yürümek, ders çalýþmak, film izlemek gibi), cihazýnda kullanmakta olduðu bir uygulama (müzik dinleme, video izleme, oyun oynama gibi), sosyal ortamlarda paylaþtýðý bir konu veya ruhsal durum bilgisi, cihazýndaki mevcut takvimi ya da mobil cihazda gezinmekte olduðu web sitesinin konusu kullanýlabilir. Bu bilgiler ile baðýmlý bir yabancý kelime / cümle önerisinin cihazýnýn ekranýnda belirmesi ile o bilginin daha fazla akýlda kalacaðý düþünülmektedir.
							
2013	2013/00456	MOBÝL TELEFONLARDA KÝÞÝNÝN KAPALI ALANLARDA YERÝNÝN BELÝRLENMESÝ ÝÇÝN SÝSTEM	ALÝ YÜKSEL				"Alýþveriþ merkezleri, hava alanlarý v.b. kapalý alan içinde bir çok maðazanýn v.b. bölümlerin olduðu yerleþimlerde kiþinin yerini bilinmesi ve bu bilgiye göre kampanya gibi kiþiye özel bilgilendirmelrin yapýlmasý istenmektedir. Bu alanlarda kiþinin yerini belirlemek için cep telefonu kullanýlabilir. Cep telefonu ile etkileþime geçerek kiþinin yeri bulunabilir ve cep telefonu üzerinden kiþiye reklam mesajý yada diðer yöntemler ile etkileþime geçilebilir.  Cep telefonun yeribi bulmak için öncelikle her maðaza gibi bölüme bir aparat koyulmasý gerekecektir. Bu aparat insan kulaðýnýn duyamayacaðý bir frekanstan ses yayýný yapar. Her maðazanýon bir uniq idsi olacaktýr, bu ses yayýný içinde bu uniqid gönderilecektir. Bu ses yayýný sabit olduðundan normal müzik sistemlerinden sürekli çalýnabilir. Telefon ise bu freakansý dinler ve yayýný aldýðýnda içindeki idyianlar ve belirlenen bir url  üstenden server’a http isteði yaparak msisdn ve id bilgisini gönderir. Bu þekilde serverda msisdnlerin hangi maðazalarda bulunduðu tutulur. Mevcutta cep telefonunun yerini belirlenmesi için baz istasyonlarýndan fardalanýlýr. Baz istasyonlarýnýn kapsama bilgisine göre telefonun bulunduðu bölge saptanýr. Kapalý alanlarda baz istasyonlarýný yerleþtirilmesi sorun olabiliyor. Bazý alanlar içinde baz istasyonu istenmiyor. Kapsama alaný maðaza maðaza ayrýlmak istenirse her maðaza için istasyon gerekebiliyorki bu mliyeti çok yükseltmektedir.Bizim sistemimizde ise maðazalara koyulacak bir müzük sistemi bile kullanýlabildiðinden maliyet çok düþük olacaktýr.
"
2013	2013/03766	APRÝORÝ MAKÝNE ÖÐRENME ALGORÝTMASI ÝLE ALARM KORELASYON KURALLARININ ÜRETÝMÝ	MEHMET ONUR SARKAN-ZEHRA ÇATALTEPE-AYSEL AKÇAKOCA				Haberleþme operatör firmalarý yüksek kaliteli hizmet vermek için alt yapýlarýndan (santral, baz istasyonlarý, sunucular, haberleþme düðümleri vb.) gelen hata uyarý mesajlarýný (alarm) tek bir sisteme aktarýp, alarmlarý sürekli gözlemlemektedirler. Gözlem gruplarý bu alarmlarý inceleyerek alýnmasý gereken tedbirlere hýzlýca karar vermektedir. Karþýlaþýlan problemlerde her bir problem için birbiriyle iliþkili birden fazla tipte alarm oluþabilmektedir. Buluþun ilgili olduðu teknik alan beraber oluþan ve birbirleriyle iliþkili olan alarm tiplerinin otomatik olarak belirlenmesi ve bu alarmlardan bir kýsmýnýn filtrelenmesi ile gözlem gruplarýnýn ilgilendikleri iþ yoðunluðunu azaltmak ile ilgilidir. Ayrýca beraber gözlemlenen iliþkili alarm gruplarý ayný kök neden türlerine iþaret ettikleri için kök nedenin bulunmasý hýzlanmaktadýr. Çalýþmamýz kapsamýnda alarm tipi korelasyon kurallarýnýn otomatik olarak üretilmesi için istatistiksel makine öðrenmesi yöntemleri kullanýlmaktadýr. Alarm tarihçe
2013	2013/04417	TELEFONA GELEN ÇAÐRILARIN KÝÞÝLERE HABER VERMESÝ ÝÇÝN YÖNTEM	ALÝ YÜKSEL				"Mobil telefonlara gelen çaðrýlar müzik ve titreþim yoluyla haber verilmektedir. Mobil telefon kiþiden uzakta ise yada çanta , bavul gibi kiþi ile direk temesta deðil ise kiþiler gelen çaðrýlarý fark edememektedirler. Bu yöntem ile bu durumlarda dahi kiþilere çaðrý geldiði haber verilmektedir. Bunun için telefondan ayrý bir kiþi ile temesta olan bir cihaz kullanýlmakta bu cihaz mobil telefon ile iletiþimde olup çaðrý geldiðinde titreþerek kiþiye haber vermektedir. Bu cihaz küçük ve taþýnmasý kolay bir aksesuar þeklinde olacaktýr. Anahtarlýk, bilezik v.b.
Bu yöntemdeki haberleþme ise insan kulaðýnýn duyamacaðý frekanstaki ses ile saðlanacaktýr. Bütün telefonlar hali hazýrda gelen çaðrýlarý ses ile ilettiði için tüm telefonlarda kullanýlabilir bir yöntemdir. Bu ses içinde sistemin kullandýðý bir id datasý gönderilecektir. Alýcý cihazda bir mikrofon bulunacak bu frekanstaki sesleri dinleyecektir. Frekansta bir yayýn olduðunda yayýn içinde iletilen id kendi idsi oldugunda cihaz titreþim il"
